onset_time,pitch,velocity_xp,velocity,duration,voice_id,trigger_time
3.719999999999997,105,529.9923242717443,66,0.096,101,3.7003225806451585
3.719999999999997,93,589.9923242717443,74,0.096,1,3.7015738025415414
3.720000000000002,71,649.7361009955649,81,0.042,100,3.702668621700882
3.720000000000002,59,709.7361009955649,89,0.042,0,3.703919843597265
3.760000000000002,67,658.4137461937154,82,0.042,100,3.7428250244379297
3.760000000000002,55,718.4137461937154,90,0.042,0,3.7440762463343127
3.800000000000002,66,673.1891716570593,84,0.084,100,3.7831378299120253
3.800000000000002,54,733.1891716570593,92,0.084,0,3.7843890518084087
3.880000000000002,67,607.2946022176661,76,0.042,100,3.8618866080156424
3.880000000000002,55,667.2946022176661,83,0.042,0,3.8629814271749776
3.8999999999999972,95,591.7920701556628,74,0.0315,101,3.8815738025415416
3.8999999999999972,83,651.7920701556628,81,0.0315,1,3.8826686217008772
3.920000000000002,60,566.1859100343082,71,0.128,100,3.901104594330403
3.920000000000002,48,626.1859100343082,78,0.128,0,3.9021994134897384
3.929999999999997,96,590.8317699793699,74,0.0315,101,3.9115738025415414
3.929999999999997,84,650.8317699793699,81,0.0315,1,3.912668621700877
3.959999999999997,95,658.8896416064961,82,0.0315,101,3.9428250244379246
3.959999999999997,83,718.8896416064961,90,0.0315,1,3.9440762463343075
3.9899999999999967,98,655.1905355584207,82,0.0315,101,3.9728250244379244
3.9899999999999967,86,715.1905355584207,89,0.0315,1,3.9739198435972596
4.019999999999997,100,670.2454743905366,84,0.063,101,4.003137829912021
4.019999999999997,88,730.2454743905366,91,0.063,1,4.004232649071356
4.0799999999999965,98,613.7506011510197,77,0.0315,101,4.062043010752685
4.0799999999999965,86,673.7506011510197,84,0.0315,1,4.06313782991202
4.109999999999997,105,543.9926539394048,68,0.096,101,4.090635386119254
4.109999999999997,93,603.9926539394048,75,0.096,1,4.091730205278589
4.160000000000002,71,604.9179660769258,76,0.042,100,4.141886608015642
4.160000000000002,59,664.9179660769258,83,0.042,0,4.142981427174978
4.200000000000002,72,599.7366074710694,75,0.042,100,4.181730205278594
4.200000000000002,60,659.7366074710694,82,0.042,0,4.182825024437929
4.240000000000002,71,670.8748639663536,84,0.042,100,4.223137829912026
4.240000000000002,59,730.8748639663536,91,0.042,0,4.224232649071361
4.280000000000002,74,678.8558992544313,85,0.042,100,4.2632942326490735
4.280000000000002,62,738.8558992544313,92,0.042,0,4.264389051808409
4.2899999999999965,95,596.827314503516,75,0.0315,101,4.271730205278589
4.2899999999999965,83,656.827314503516,82,0.0315,1,4.272825024437924
4.319999999999997,93,599.0166529716703,75,0.0315,101,4.301730205278589
4.319999999999997,81,659.0166529716703,82,0.0315,1,4.302825024437924
4.320000000000002,76,674.7024755005206,84,0.084,100,4.303137829912026
4.320000000000002,64,734.7024755005206,92,0.084,0,4.304389051808409
4.349999999999997,95,673.2521884875597,84,0.0315,101,4.333137829912021
4.349999999999997,83,733.2521884875597,92,0.0315,1,4.334389051808404
4.379999999999997,91,681.2226675136786,85,0.0315,101,4.363294232649069
4.379999999999997,79,741.2226675136786,93,0.0315,1,4.364545454545452
4.400000000000002,74,589.9789821067968,74,0.042,100,4.3815738025415465
4.400000000000002,62,649.9789821067968,81,0.042,0,4.382668621700882
4.4099999999999975,90,683.965542006193,85,0.063,101,4.393294232649069
4.4099999999999975,78,743.965542006193,93,0.063,1,4.394545454545452
4.440000000000002,81,548.7102815060052,69,0.128,100,4.420791788856307
4.440000000000002,69,608.7102815060052,76,0.128,0,4.421886608015642
4.469999999999997,91,621.6447635003638,78,0.0315,101,4.452199413489733
4.469999999999997,79,681.6447635003638,85,0.0315,1,4.4532942326490685
4.499999999999997,84,560.6825792973053,70,0.096,101,4.48094819159335
4.499999999999997,72,620.6825792973053,78,0.096,1,4.482199413489734
4.680000000000002,67,586.795131340554,73,0.042,100,4.661417399804499
4.679999999999997,95,589.4772474325249,74,0.0315,101,4.661573802541541
4.679999999999997,83,649.4772474325249,81,0.0315,1,4.662668621700877
4.680000000000002,55,646.795131340554,81,0.042,0,4.662668621700882
4.709999999999997,96,603.2988494672218,75,0.0315,101,4.691730205278589
4.709999999999997,84,663.2988494672218,83,0.0315,1,4.692981427174973
4.720000000000002,60,611.9447757017052,76,0.084,100,4.701886608015642
4.720000000000002,48,671.9447757017052,84,0.084,0,4.703137829912026
4.7399999999999975,95,681.0422256762419,85,0.0315,101,4.723294232649069
